,miRNA,log2control_median,log2treatment_median,log2fold_change,p_value,Q_value
79,hsa-mir-143_hsa-miR-143-3p,10.08519888,8.152697563,-1.932501317,8.84695345187471e-26,1.80379550935446e-24
80,hsa-mir-144_hsa-miR-144-3p,10.02954006,7.119945526,-2.909594534,1.47448958112684e-14,6.68071205275988e-14
81,hsa-mir-144_hsa-miR-144-5p,8.087985992,4.038840294,-4.049145698,1.43982801100177e-21,1.50976251439328e-20
82,hsa-mir-145_hsa-miR-145-3p,5.6200106145,3.171159506,-2.4488511085,5.16015282333066e-15,2.45944946254851e-14
84,hsa-mir-1468_hsa-miR-1468-5p,3.072540283,3.9771682025,0.9046279195,0.00839785820775302,0.0142247507794967
85,hsa-mir-146a_hsa-miR-146a-5p,11.70203352,10.61688137,-1.08515215,1.60393479899673e-13,6.92522436743294e-13
86,hsa-mir-146b_hsa-miR-146b-5p,8.630663395,3.771474361,-4.859189034,1.38926092040656e-22,1.75813364754899e-21
87,hsa-mir-148a_hsa-miR-148a-3p,11.548821925,3.920775414,-7.628046511,3.12292097790891e-22,3.8203733296419e-21
88,hsa-mir-148b_hsa-miR-148b-3p,10.27145004,3.181321144,-7.090128896,3.187093847513e-19,2.59925209341616e-18
90,hsa-mir-150_hsa-miR-150-5p,7.812057972,9.63070488,1.818646908,1.187873347565e-11,4.21115336429794e-11
91,hsa-mir-151a_hsa-miR-151a-3p,9.247638702,5.094181061,-4.153457641,1.81630059244779e-23,2.46882339788274e-22
94,hsa-mir-152_hsa-miR-152-3p,7.614150524,2.169933319,-5.444217205,1.31212390313533e-17,8.91758282316048e-17
95,hsa-mir-155_hsa-miR-155-5p,6.168034554,5.480742455,-0.687292099,0.000808072552137153,0.00153659392038516
96,hsa-mir-15a_hsa-miR-15a-5p,6.510576248,9.7052202225,3.1946439745,3.51455017481918e-16,2.01537486587287e-15
98,hsa-mir-15b_hsa-miR-15b-5p,6.833714008,11.09749317,4.263779162,1.35786895529902e-16,8.03770817088291e-16
